file,invoice_number,vendor,invoice_date,grand_total,num_line_items
invoice_000.png,INV-10000,Cypress Software Ltd,2026-07-12,88.68,5
invoice_001.png,INV-10001,Acme Office Supplies,2026-07-03,24.43,2
invoice_002.png,INV-10002,Blue River Logistics,2026-05-23,12683.93,3
invoice_003.png,INV-10003,Acme Office Supplies,2026-05-20,272.52,2
invoice_004.png,INV-10004,Delta Industrial Parts,2026-06-15,392.69,4
invoice_005.png,INV-10005,Delta Industrial Parts,2026-07-10,2598.08,4
invoice_006.png,INV-10006,Cypress Software Ltd,2026-06-01,197.65,2
invoice_007.png,INV-10007,Cypress Software Ltd,2026-08-16,980.77,5
invoice_008.png,INV-10008,Delta Industrial Parts,2026-05-22,1413.54,4
invoice_009.png,INV-10009,Blue River Logistics,2026-07-30,2058.27,5
invoice_010.png,INV-10010,Acme Office Supplies,2026-05-31,567.46,5
invoice_011.png,INV-10011,Evergreen Catering Co,2025-06-27,536.68,3
invoice_012.png,INV-10012,Cypress Software Ltd,2026-07-21,240.90,3
invoice_013.png,INV-10013,Evergreen Catering Co,2026-07-28,1762.94,4
invoice_014.png,INV-10014,Blue River Logistics,2026-07-06,3678.58,5
invoice_015.png,INV-10015,Cypress Software Ltd,2026-07-05,1029.72,5
invoice_016.png,INV-10016,Delta Industrial Parts,2026-06-02,324.47,5
invoice_017.png,INV-10017,Acme Office Supplies,2026-05-25,256.38,3
invoice_018.png,INV-10018,Cypress Software Ltd,2026-06-28,2241.98,5
invoice_019.png,INV-10019,Delta Industrial Parts,2026-05-13,123.74,2
invoice_020.png,INV-10020,Acme Office Supplies,2026-06-30,128.93,3
invoice_021.png,INV-10021,Evergreen Catering Co,2026-05-15,702.84,3
invoice_022.png,INV-10022,Blue River Logistics,2026-06-08,135.73,2
invoice_023.png,INV-10023,Cypress Software Ltd,2026-07-16,1066.90,3
invoice_024.png,INV-10024,Blue River Logistics,2026-07-03,341.60,3
invoice_025.png,INV-10025,Delta Industrial Parts,2026-06-05,71.16,2
invoice_026.png,INV-10026,Blue River Logistics,2026-07-18,626.90,2
invoice_027.png,INV-10027,Delta Industrial Parts,2026-06-28,1728.77,5
invoice_028.png,INV-10028,Blue River Logistics,2026-07-23,332.55,4
invoice_029.png,INV-10029,Blue River Logistics,2026-06-22,543.19,4
invoice_030.png,INV-10030,Blue River Logistics,2026-06-04,41.35,2
invoice_031.png,INV-10031,Blue River Logistics,2026-06-18,1051.44,3
invoice_032.png,INV-10032,Acme Office Supplies,2026-06-13,1325.68,4
invoice_033.png,INV-10033,Cypress Software Ltd,2026-07-04,233.91,4
invoice_034.png,INV-10034,Acme Office Supplies,2026-07-13,1026.80,5
invoice_035.png,INV-10035,Evergreen Catering Co,2026-06-07,109.44,3
invoice_036.png,INV-10036,Evergreen Catering Co,2026-07-25,234.16,2
invoice_037.png,INV-10037,Evergreen Catering Co,2026-05-24,62.63,2
invoice_038.png,INV-10038,Blue River Logistics,2026-07-02,1562.78,5
invoice_039.png,INV-10039,Acme Office Supplies,2026-05-30,507.57,4
invoice_040.png,INV-10040,Delta Industrial Parts,2026-07-29,828.16,4
invoice_041.png,INV-10041,Blue River Logistics,2026-05-15,252.20,4
invoice_042.png,INV-10042,Delta Industrial Parts,2026-06-17,873.07,5
invoice_043.png,INV-10043,Delta Industrial Parts,2026-06-12,1924.21,2
invoice_044.png,INV-10044,Cypress Software Ltd,2026-07-12,519.45,3
invoice_045.png,INV-10045,Delta Industrial Parts,2026-05-22,442.30,3
invoice_046.png,INV-10046,Evergreen Catering Co,2026-07-15,787.25,3
invoice_047.png,INV-10047,Cypress Software Ltd,2026-05-31,1864.07,5
invoice_048.png,INV-10048,Cypress Software Ltd,2026-05-21,808.38,2
invoice_049.png,INV-10049,Delta Industrial Parts,2026-06-12,1195.50,5
invoice_050.png,INV-10005,Delta Industrial Parts,2026-07-10,2598.08,4
